Keuwl Accelerometer Data File
2021-04-04 11-07-14

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.7644042,0.409348,8.233871,9.528564,12.599911,40.866112,87.153877
0.7684326,0.667923,8.241058,9.626724,12.689956,40.658207,85.366409
0.7724915,0.948044,8.276962,9.739258,12.816398,40.544083,83.465813
0.7765502,1.230560,8.308090,9.849396,12.944081,40.454731,81.574837
0.7805786,1.529831,8.317673,9.935577,13.047596,40.404518,79.578331
0.7846374,1.855438,8.317673,9.985855,13.127972,40.478043,77.424812
0.7886658,2.195419,8.296127,9.978683,13.161297,40.695644,75.177483
0.7927246,2.535400,8.269791,9.899673,13.146149,41.144951,72.955208
0.7967529,2.861008,8.253021,9.741653,13.084248,41.881001,70.880524
0.8008118,3.155487,8.229080,9.559692,13.002406,42.673782,69.020401
0.8048400,3.397308,8.212326,9.351395,12.900875,43.542370,67.525902
0.8088989,3.572083,8.205139,9.143097,12.793760,44.385246,66.474243
0.8129272,3.665466,8.224289,8.951569,12.696659,45.167759,65.978043
0.8169861,3.679825,8.248230,8.776794,12.593908,45.820549,65.956673
0.8210144,3.643906,8.264999,8.604401,12.474934,46.390850,66.208084
0.8250732,3.545746,8.279358,8.427231,12.334435,46.903595,66.816322
0.8291016,3.411667,8.279358,8.230911,12.162860,47.411751,67.604958
0.8331603,3.246475,8.236267,8.005859,11.936058,47.876652,68.487213
0.8371887,3.064514,8.152466,7.756866,11.662887,48.310787,69.398743
0.8412475,2.856216,8.025574,7.481522,11.337592,48.708797,70.409897
0.8452759,2.655106,7.865158,7.196609,10.986423,49.076881,71.346443
0.8493347,2.470749,7.685593,6.909317,10.625987,49.441185,72.178543
0.8533630,2.317520,7.494064,6.631577,10.271791,49.788536,72.815910
0.8574219,2.200211,7.295349,6.382584,9.939839,50.049809,73.217171
0.8614501,2.094864,7.101410,6.143173,9.620658,50.316975,73.564323
0.8655090,2.025436,6.929031,5.915710,9.333247,50.666592,73.705742
0.8695373,1.963181,6.761444,5.716995,9.069468,50.923592,73.809380
0.8735961,1.900940,6.598633,5.558975,8.835029,51.009083,73.929321
0.8776245,1.826706,6.431030,5.453644,8.627702,50.794144,74.143036
0.8816833,1.733337,6.258652,5.422516,8.460429,50.139038,74.519897
0.8857422,1.611237,6.091064,5.460815,8.337725,49.083935,75.183228
0.8897704,1.484344,5.925858,5.575745,8.270912,47.612675,75.937553
0.8938293,1.388580,5.772629,5.755310,8.268917,45.891655,76.474716
0.8978577,1.304779,5.631378,5.956421,8.300230,44.141571,76.954872
0.9019164,1.256897,5.511658,6.155136,8.357264,42.565765,77.153755
0.9059448,1.242523,5.406311,6.344284,8.427455,41.165501,77.056580
0.9100036,1.266464,5.305756,6.514267,8.496508,39.941586,76.574913
0.9140320,1.314346,5.212387,6.653137,8.553404,38.937225,75.847435
0.9180908,1.378998,5.128586,6.782425,8.614251,38.061512,74.950005
0.9221191,1.469971,5.056763,6.894943,8.675939,37.371166,73.791168
0.9261780,1.546585,4.992126,6.995499,8.732139,36.762730,72.786766
0.9302062,1.592087,4.934662,7.072113,8.769288,36.248142,72.118568
0.9342651,1.613632,4.884384,7.129578,8.791581,35.810646,71.718224
0.9382934,1.613632,4.836502,7.182251,8.807967,35.370430,71.549431
0.9423523,1.594482,4.793396,7.215775,8.808315,34.995182,71.600731
0.9463806,1.570526,4.757492,7.232529,8.798281,34.710583,71.731094
0.9504394,1.537018,4.726364,7.215775,8.761754,34.557869,71.985428
0.9544678,1.522644,4.702423,7.172668,8.710821,34.571323,72.058052
