Keuwl Accelerometer Data File
2021-04-09 15-36-29

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.5552169,0.822604,-0.219073,0.490551,-0.208096,-3.914146,4.380333
0.5572181,0.781902,-0.168793,0.473791,-0.207247,-3.644726,5.125282
0.5592191,0.712468,-0.046685,0.435482,-0.199530,-2.961300,6.432068
0.5612205,0.650216,0.063452,0.394780,-0.196321,-2.322340,7.542397
0.5632218,0.604725,0.128097,0.378019,-0.187489,-1.966194,8.294701
0.5652232,0.511349,0.214291,0.330134,-0.199039,-1.438963,9.719246
0.5672237,0.425155,0.300485,0.279855,-0.210701,-0.889374,10.992065
0.5692251,0.384452,0.345976,0.267883,-0.202911,-0.630249,11.579346
0.5712266,0.243190,0.458507,0.200844,-0.215870,0.111628,13.517754
0.5732279,0.197699,0.492027,0.196054,-0.205425,0.297985,14.121185
0.5752229,0.161784,0.530335,0.193661,-0.190392,0.504904,14.590431
0.5772212,0.097139,0.604558,0.176901,-0.171363,0.940027,15.413445
0.5792218,0.046859,0.657232,0.181689,-0.142402,1.206446,16.036552
0.5812213,-0.022575,0.709906,0.176901,-0.121087,1.504025,16.884003
0.5832226,-0.046517,0.731454,0.188872,-0.099943,1.587975,17.169411
0.5852233,-0.053700,0.762580,0.212815,-0.064080,1.684134,17.239014
0.5872250,-0.065672,0.781734,0.215209,-0.052709,1.778391,17.374084
0.5892263,-0.065672,0.805677,0.243940,-0.016112,1.822214,17.358589
0.5912277,-0.063277,0.820043,0.270277,0.013818,1.823172,17.320221
0.5932290,-0.053700,0.827226,0.282248,0.027528,1.824741,17.199226
0.5952303,-0.056095,0.812860,0.306191,0.041997,1.688593,17.237175
0.5972317,-0.077643,0.796100,0.332528,0.058002,1.539560,17.511253
0.5992327,-0.087220,0.781734,0.344500,0.062182,1.438061,17.638535
0.6012343,-0.087220,0.753003,0.399569,0.097770,1.148275,17.658966
0.6032357,-0.092009,0.736243,0.406751,0.096601,1.046440,17.730331
0.6052371,-0.094403,0.721878,0.418722,0.100753,0.943542,17.770653
0.6072379,-0.070460,0.709906,0.428300,0.103203,0.851330,17.481224
0.6092392,-0.060883,0.693146,0.416328,0.084697,0.794912,17.372894
0.6112404,-0.039335,0.645261,0.378019,0.028380,0.645061,17.132408
0.6132420,-0.039335,0.645261,0.378019,0.028380,0.645061,17.132408
0.6152434,-0.027363,0.630895,0.373231,0.017373,0.581198,16.989342
0.6172488,-0.008209,0.628500,0.385202,0.026603,0.533760,16.747414
0.6192539,0.054042,0.614135,0.418722,0.049129,0.363155,15.961182
0.6212552,0.087562,0.602164,0.454637,0.075559,0.206390,15.536591
0.6232566,0.101928,0.602164,0.480973,0.099028,0.138359,15.352722
0.6252580,0.109110,0.594981,0.536042,0.145174,-0.037039,15.262260
0.6272594,0.116293,0.599770,0.569562,0.177323,-0.096800,15.169281
0.6292607,0.094745,0.594981,0.624630,0.224855,-0.255245,15.446434
0.6312621,0.080379,0.578221,0.686881,0.273703,-0.490215,15.635437
0.6332633,0.082773,0.568644,0.710824,0.291108,-0.596590,15.607353
0.6352647,0.087562,0.561461,0.739555,0.313880,-0.702309,15.547562
0.6372667,0.094745,0.554278,0.758710,0.328020,-0.784925,15.456596
0.6392683,0.109110,0.547095,0.765892,0.331315,-0.839394,15.272240
0.6412694,0.185727,0.539913,0.765892,0.327990,-0.878378,14.279007
0.6432708,0.214458,0.535124,0.756315,0.317338,-0.879017,13.905487
0.6452720,0.224036,0.532730,0.749132,0.309857,-0.873528,13.780701
0.6472731,0.271921,0.530335,0.741949,0.302653,-0.864771,13.157433
0.6492744,0.329384,0.532730,0.718007,0.282721,-0.787590,12.411301
0.6512756,0.384452,0.527941,0.718007,0.281610,-0.800625,11.693375
0.6532769,0.398818,0.525547,0.710824,0.274392,-0.791986,11.505226
0.6552783,0.406000,0.527941,0.679698,0.247476,-0.703190,11.413483
0.6572796,0.413183,0.520758,0.662938,0.229422,-0.697102,11.315285
0.6592811,0.417972,0.535124,0.622236,0.199031,-0.524223,11.263062
0.6612825,0.422760,0.542307,0.574350,0.159142,-0.369043,11.206100
0.6632838,0.420366,0.530335,0.538436,0.121553,-0.341890,11.228661
0.6652852,0.420366,0.527941,0.495339,0.081750,-0.247011,11.226967
0.6672873,0.415578,0.542307,0.449848,0.047078,-0.060791,11.299042
0.6692886,0.420366,0.556673,0.421117,0.027761,0.086760,11.247131
0.6712902,0.401212,0.551884,0.322951,-0.062721,0.308208,11.491150
0.6732913,0.401212,0.551884,0.322951,-0.062721,0.308208,11.491150
0.6752926,0.394029,0.551884,0.287037,-0.094997,0.399372,11.583939
0.6772898,0.372481,0.575827,0.217604,-0.146656,0.700125,11.875725
0.6792874,0.331778,0.585404,0.140986,-0.211254,0.945457,12.403343
0.6812887,0.317412,0.585404,0.090707,-0.256171,1.078310,12.587784
0.6832901,0.324595,0.592587,0.069159,-0.271909,1.175470,12.498528
0.6852912,0.317412,0.606952,0.045216,-0.286633,1.314760,12.596214
0.6872953,0.303047,0.626106,0.035639,-0.286441,1.439112,12.786438
0.6892967,0.269527,0.664415,0.026061,-0.277433,1.661587,13.222626
0.6912980,0.255161,0.724272,0.042821,-0.234646,1.925167,13.416176
0.6932994,0.252767,0.753003,0.028456,-0.233725,2.113708,13.451569
0.6953042,0.274315,0.803283,0.011696,-0.224292,2.422260,13.197182
0.6973049,0.264738,0.843986,-0.000276,-0.215288,2.664560,13.323349
0.6993065,0.264738,0.858351,0.011696,-0.197865,2.704348,13.326439
0.7013081,0.264738,0.903842,0.016484,-0.171601,2.923357,13.336098
0.7033094,0.259950,0.920602,0.026061,-0.155110,2.981083,13.396835
0.7053107,0.257555,0.927785,0.030850,-0.147444,3.003801,13.426819
0.7073171,0.264738,0.922997,0.042821,-0.139272,2.946053,13.340111
0.7093184,0.250373,0.906237,0.066764,-0.126609,2.791952,13.508789
0.7113199,0.264738,0.882294,0.088312,-0.119215,2.610760,13.331543
0.7133213,0.264738,0.863140,0.090707,-0.126337,2.506500,13.327461
0.7153227,0.262344,0.784129,0.124227,-0.134566,2.009386,13.339714
